Iteracion 1/100, Mejor Fitness: 6
Iteracion 2/100, Mejor Fitness: 5
Iteracion 3/100, Mejor Fitness: 5
Iteracion 4/100, Mejor Fitness: 5
Iteracion 5/100, Mejor Fitness: 5
Iteracion 6/100, Mejor Fitness: 5
Iteracion 7/100, Mejor Fitness: 4
Iteracion 8/100, Mejor Fitness: 4
Iteracion 9/100, Mejor Fitness: 4
Iteracion 10/100, Mejor Fitness: 4
Iteracion 11/100, Mejor Fitness: 4
Iteracion 12/100, Mejor Fitness: 4
Iteracion 13/100, Mejor Fitness: 4
Iteracion 14/100, Mejor Fitness: 4
Iteracion 15/100, Mejor Fitness: 4
Iteracion 16/100, Mejor Fitness: 4
Iteracion 17/100, Mejor Fitness: 4
Iteracion 18/100, Mejor Fitness: 4
Iteracion 19/100, Mejor Fitness: 4
Iteracion 20/100, Mejor Fitness: 4
Iteracion 21/100, Mejor Fitness: 4
Iteracion 22/100, Mejor Fitness: 4
Iteracion 23/100, Mejor Fitness: 4
Iteracion 24/100, Mejor Fitness: 4
Iteracion 25/100, Mejor Fitness: 4
Iteracion 26/100, Mejor Fitness: 4
Iteracion 27/100, Mejor Fitness: 4
Iteracion 28/100, Mejor Fitness: 4
Iteracion 29/100, Mejor Fitness: 4
Iteracion 30/100, Mejor Fitness: 4
Iteracion 31/100, Mejor Fitness: 4
Iteracion 32/100, Mejor Fitness: 4
Iteracion 33/100, Mejor Fitness: 4
Iteracion 34/100, Mejor Fitness: 4
Iteracion 35/100, Mejor Fitness: 4
Iteracion 36/100, Mejor Fitness: 4
Iteracion 37/100, Mejor Fitness: 4
Iteracion 38/100, Mejor Fitness: 4
Iteracion 39/100, Mejor Fitness: 4
Iteracion 40/100, Mejor Fitness: 4
Iteracion 41/100, Mejor Fitness: 4
Iteracion 42/100, Mejor Fitness: 4
Iteracion 43/100, Mejor Fitness: 4
Iteracion 44/100, Mejor Fitness: 4
Iteracion 45/100, Mejor Fitness: 4
Iteracion 46/100, Mejor Fitness: 4
Iteracion 47/100, Mejor Fitness: 4
Iteracion 48/100, Mejor Fitness: 4
Iteracion 49/100, Mejor Fitness: 4
Iteracion 50/100, Mejor Fitness: 4
Iteracion 51/100, Mejor Fitness: 4
Iteracion 52/100, Mejor Fitness: 4
Iteracion 53/100, Mejor Fitness: 4
Iteracion 54/100, Mejor Fitness: 4
Iteracion 55/100, Mejor Fitness: 4
Iteracion 56/100, Mejor Fitness: 4
Iteracion 57/100, Mejor Fitness: 4
Iteracion 58/100, Mejor Fitness: 4
Iteracion 59/100, Mejor Fitness: 4
Iteracion 60/100, Mejor Fitness: 4
Iteracion 61/100, Mejor Fitness: 4
Iteracion 62/100, Mejor Fitness: 4
Iteracion 63/100, Mejor Fitness: 4
Iteracion 64/100, Mejor Fitness: 4
Iteracion 65/100, Mejor Fitness: 4
Iteracion 66/100, Mejor Fitness: 4
Iteracion 67/100, Mejor Fitness: 4
Iteracion 68/100, Mejor Fitness: 4
Iteracion 69/100, Mejor Fitness: 4
Iteracion 70/100, Mejor Fitness: 4
Iteracion 71/100, Mejor Fitness: 4
Iteracion 72/100, Mejor Fitness: 4
Iteracion 73/100, Mejor Fitness: 4
Iteracion 74/100, Mejor Fitness: 4
Iteracion 75/100, Mejor Fitness: 4
Iteracion 76/100, Mejor Fitness: 4
Iteracion 77/100, Mejor Fitness: 4
Iteracion 78/100, Mejor Fitness: 4
Iteracion 79/100, Mejor Fitness: 4
Iteracion 80/100, Mejor Fitness: 4
Iteracion 81/100, Mejor Fitness: 4
Iteracion 82/100, Mejor Fitness: 4
Iteracion 83/100, Mejor Fitness: 4
Iteracion 84/100, Mejor Fitness: 4
Iteracion 85/100, Mejor Fitness: 4
Iteracion 86/100, Mejor Fitness: 4
Iteracion 87/100, Mejor Fitness: 4
Iteracion 88/100, Mejor Fitness: 4
Iteracion 89/100, Mejor Fitness: 4
Iteracion 90/100, Mejor Fitness: 4
Iteracion 91/100, Mejor Fitness: 4
Iteracion 92/100, Mejor Fitness: 4
Iteracion 93/100, Mejor Fitness: 4
Iteracion 94/100, Mejor Fitness: 4
Iteracion 95/100, Mejor Fitness: 4
Iteracion 96/100, Mejor Fitness: 4
Iteracion 97/100, Mejor Fitness: 4
Iteracion 98/100, Mejor Fitness: 4
Iteracion 99/100, Mejor Fitness: 4
Iteracion 100/100, Mejor Fitness: 4
Mejor solucion encontrada: [3 0 7 0 8 7 0 0 3 8]
Numero de colores utilizados: 4
